id,delta_tm_wt_centered_c,tier
IsPETaseWT_pool_4155,10.359060,ge_10
IsPETaseWT_pool_4169,10.352445,ge_10
IsPETaseWT_pool_3764,10.351653,ge_10
IsPETaseWT_pool_137,10.349719,ge_10
IsPETaseWT_pool_2178,10.346400,ge_10
IsPETaseWT_pool_1078,10.344643,ge_10
IsPETaseWT_pool_372,10.343316,ge_10
IsPETaseWT_pool_273,10.342604,ge_10
IsPETaseWT_pool_4029,10.335970,ge_10
IsPETaseWT_pool_4635,10.335470,ge_10
IsPETaseWT_pool_2637,10.332622,ge_10
IsPETaseWT_pool_1391,10.329770,ge_10
IsPETaseWT_pool_3386,10.326917,ge_10
IsPETaseWT_pool_4066,10.324089,ge_10
IsPETaseWT_pool_573,10.315136,ge_10
IsPETaseWT_pool_4893,10.306581,ge_10
IsPETaseWT_pool_828,10.305743,ge_10
IsPETaseWT_pool_4062,10.305204,ge_10
IsPETaseWT_pool_2633,10.304059,ge_10
IsPETaseWT_pool_4625,10.297517,ge_10
IsPETaseWT_pool_1945,10.278212,ge_10
IsPETaseWT_pool_2632,10.272876,ge_10
IsPETaseWT_pool_4816,10.272086,ge_10
IsPETaseWT_pool_1994,10.268401,ge_10
IsPETaseWT_pool_696,10.266940,ge_10
IsPETaseWT_pool_362,10.266015,ge_10
IsPETaseWT_pool_451,10.259297,ge_10
IsPETaseWT_pool_3783,10.256043,ge_10
IsPETaseWT_pool_384,10.255598,ge_10
IsPETaseWT_pool_1851,10.255239,ge_10
IsPETaseWT_pool_1071,10.252456,ge_10
IsPETaseWT_pool_2735,10.247900,ge_10
IsPETaseWT_pool_1827,10.242309,ge_10
IsPETaseWT_pool_505,10.239376,ge_10
IsPETaseWT_pool_1782,10.224966,ge_10
IsPETaseWT_pool_1188,10.222966,ge_10
IsPETaseWT_pool_1120,10.216775,ge_10
IsPETaseWT_pool_3550,10.214693,ge_10
IsPETaseWT_pool_2929,10.214524,ge_10
IsPETaseWT_pool_3819,10.204678,ge_10
IsPETaseWT_pool_3331,10.203733,ge_10
IsPETaseWT_pool_3498,10.202254,ge_10
IsPETaseWT_pool_4821,10.200809,ge_10
IsPETaseWT_pool_2127,10.198656,ge_10
IsPETaseWT_pool_3772,10.198612,ge_10
IsPETaseWT_pool_3534,10.195485,ge_10
IsPETaseWT_pool_3615,10.193656,ge_10
IsPETaseWT_pool_1237,10.184862,ge_10
IsPETaseWT_pool_3321,10.181252,ge_10
IsPETaseWT_pool_2618,10.173771,ge_10
IsPETaseWT_pool_1061,10.171614,ge_10
IsPETaseWT_pool_3575,10.171474,ge_10
IsPETaseWT_pool_3092,10.170107,ge_10
IsPETaseWT_pool_4208,10.170094,ge_10
IsPETaseWT_pool_4836,10.167168,ge_10
IsPETaseWT_pool_356,10.162676,ge_10
IsPETaseWT_pool_4688,10.162467,ge_10
IsPETaseWT_pool_398,10.162393,ge_10
IsPETaseWT_pool_4442,10.160260,ge_10
IsPETaseWT_pool_2969,10.156810,ge_10
IsPETaseWT_pool_2944,10.156345,ge_10
IsPETaseWT_pool_1928,10.155789,ge_10
IsPETaseWT_pool_4711,10.149404,ge_10
IsPETaseWT_pool_4396,10.143068,ge_10
IsPETaseWT_pool_3409,10.142491,ge_10
IsPETaseWT_pool_4486,10.139857,ge_10
IsPETaseWT_pool_783,10.139561,ge_10
IsPETaseWT_pool_4869,10.138720,ge_10
IsPETaseWT_pool_2,10.134279,ge_10
IsPETaseWT_pool_3210,10.126231,ge_10
IsPETaseWT_pool_297,10.117069,ge_10
IsPETaseWT_pool_4692,10.111413,ge_10
IsPETaseWT_pool_3769,10.107649,ge_10
IsPETaseWT_pool_855,10.106957,ge_10
IsPETaseWT_pool_3921,10.106650,ge_10
IsPETaseWT_pool_674,10.105682,ge_10
IsPETaseWT_pool_4652,10.103055,ge_10
IsPETaseWT_pool_4330,10.096466,ge_10
IsPETaseWT_pool_3960,10.095203,ge_10
IsPETaseWT_pool_2367,10.090544,ge_10
IsPETaseWT_pool_2793,10.089206,ge_10
IsPETaseWT_pool_3132,10.088889,ge_10
IsPETaseWT_pool_1765,10.086586,ge_10
IsPETaseWT_pool_780,10.085145,ge_10
IsPETaseWT_pool_3920,10.084462,ge_10
IsPETaseWT_pool_1006,10.083353,ge_10
IsPETaseWT_pool_2552,10.080085,ge_10
IsPETaseWT_pool_3911,10.078739,ge_10
IsPETaseWT_pool_3274,10.077326,ge_10
IsPETaseWT_pool_4326,10.070602,ge_10
IsPETaseWT_pool_3184,10.065622,ge_10
IsPETaseWT_pool_3172,10.065574,ge_10
IsPETaseWT_pool_2019,10.065372,ge_10
IsPETaseWT_pool_4962,10.063771,ge_10
IsPETaseWT_pool_2454,10.061549,ge_10
IsPETaseWT_pool_2811,10.056158,ge_10
IsPETaseWT_pool_1229,10.054811,ge_10
IsPETaseWT_pool_3322,10.050148,ge_10
IsPETaseWT_pool_1023,10.049474,ge_10
IsPETaseWT_pool_1035,10.046184,ge_10
IsPETaseWT_pool_819,10.043529,ge_10
IsPETaseWT_pool_810,10.033012,ge_10
IsPETaseWT_pool_3983,10.030723,ge_10
IsPETaseWT_pool_3019,10.027522,ge_10
IsPETaseWT_pool_4034,10.025494,ge_10
IsPETaseWT_pool_3493,10.025115,ge_10
IsPETaseWT_pool_3828,10.018613,ge_10
IsPETaseWT_pool_2850,10.018594,ge_10
IsPETaseWT_pool_2692,10.018225,ge_10
IsPETaseWT_pool_1472,10.017747,ge_10
IsPETaseWT_pool_1163,10.013871,ge_10
IsPETaseWT_pool_2425,10.008719,ge_10
IsPETaseWT_pool_3954,10.000851,ge_10
IsPETaseWT_pool_1899,10.000363,ge_10
